"Customer Name","PO Number","SKU Code","Facility Name","Facility Location","PO Date","PO Expiry Date",HSN,"Item Code",Description,GST,"Basic Rate","Product Basic Rate","Basic Rate Confirmation","Net Landing Rate","Product Net Landing Rate","Net Landing Rate Confirmation",MRP,"Product MRP","MRP Confirmation","Case Pack Quantity","PO Quantity","Available Quantity","Unavailable Quantity",Reason
khushi,8693357093003,103878,khushi-banglore,"402, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,01-09-2025,70139900,10160815,"Pasabahce Pack Of 6 Karat Whisky Glass (Glass, 300 Ml, Transparent)",12,296.47,0,Incorrect,332.05,0,Incorrect,768,768,Correct,48,12,0,12,
khushi,8904276136871,SGS1610,khushi-banglore,"402, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,31-08-2025,70139900,10160822,"Soogo 6 Pcs 60Ml Bella Shot Glasses - Transparent",18,296.47,0,Incorrect,349.83,0,Incorrect,345,345,Correct,72,31,31,0,
manish,8904052701682,SGS1610,manish-banglore,"2 Anmol Appt,1st Road, T.P.S-III",01-08-2025,31-08-2025,70263900,10209138,"Soogo 6 Pcs 60Ml Bella Shot Glasses - Transparent",12,296.47,0,Incorrect,332.05,0,Incorrect,345,345,Correct,72,14,9,5,
rupa,8904276136871,SODP100P,rupa-banglore,"3 Anmol Appt,1st Road, T.P.S-III",01-08-2025,31-08-2025,70208100,10117067,"Neelam Stainless Steel Oil Dispenser (1L, Silver)",18,298.47,0,Incorrect,352.19,0,Incorrect,490,490,Correct,50,79,0,79,
roshan,8904052701683,KR-0800,roshan-banglore,"403, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,01-09-2025,70139900,10160815,"Yera Glass Jar (Pack Of 2, Transparent, Blue)",18,402.45,0,Incorrect,474.89,0,Incorrect,280,280,Correct,32,56,10,46,
roshan,8693357093003,SODP100P,roshan-banglore,"403, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,31-08-2025,70294900,10125019,"Neelam Stainless Steel Oil Dispenser (1L, Silver)",18,402.45,0,Incorrect,474.89,0,Incorrect,490,280,Incorrect,32,20,0,20,
rupa,8874462351656,B02311,rupa-banglore,"3 Anmol Appt,1st Road, T.P.S-III",01-08-2025,31-08-2025,70263900,10209138,"Ocean 6 Pieces Pyramid Whiskey Glass (Glass, 370Ml, Transparent)",18,296.47,0,Incorrect,349.83,0,Incorrect,849,849,Correct,72,16,16,0,
rupa,8693357093003,IV00024Y,rupa-banglore,"3 Anmol Appt,1st Road, T.P.S-III",01-08-2025,31-08-2025,70139900,10160822,"Iveo Solid Tumbler 300Ml- Yellow",18,298.47,0,Incorrect,352.19,0,Incorrect,272,272,Correct,24,80,60,20,
saurabh,8904276129828,NA001,saurabh-banglore,"404, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,31-08-2025,70294900,10125019,"Jar Bottle.",18,253.87,0,Incorrect,298.54,0,Incorrect,849,0,Incorrect,0,44,0,0,"SKU Not Found"
saurabh,8874462351656,SKB2226,saurabh-banglore,"404, Parvati Block 1, Sri Tirumala Sarovar Apartment Singasandra, Hosur Road, ",01-08-2025,31-08-2025,70208100,10117067,"Sanjeev Kapoor 6 Pieces Infinity White Wine Glass (Glass, 195Ml, Transparent)",12,253.87,0,Incorrect,284.33,0,Incorrect,995,995,Correct,48,64,10,54,
